1분기 실제 일반 이벤트 26개,,,,,,,,,,,,,,,,,,,,,,,,,
마지막 벙커 가능 → 구조신호 점수 → 합류 점수 순서로 분류 정렬 · 삭제된 이벤트 목록은 포함하지 않음,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
공통 규칙,내용,,,,,,,,현황,개수,,,,,,,,,,,,,,,
독립성,"일반 이벤트는 발생 당일에 시작·종료하며, 이벤트끼리 선행 조건이나 후속 연결 구조를 사용하지 않는다.",,,,,,,,일반 이벤트 총개수,26,,,,,,,,,,,,,,,
선택지,모든 일반 이벤트에는 선택지 2개가 등장한다.,,,,,,,,마지막 벙커 등장 가능,12,,,,,,,,,,,,,,,
계열 점수 적용,2~12일 차에 발생한 일반 이벤트 선택만 구조신호·합류 계열 점수에 반영한다.,,,,,,,,마지막 벙커 등장 불가,14,,,,,,,,,,,,,,,
13일 차 이후,같은 이벤트가 등장해도 계열 점수와 엔딩에 영향을 주지 않는다.,,,,,,,,구조신호 점수 이벤트,7,,,,,,,,,,,,,,,
마지막 벙커,"진입 후에는 외부 인물이나 구조 신호 관련 이벤트를 제외하고, 주인공 혼자 겪을 수 있는 이벤트만 등장한다.",,,,,,,,합류 점수 이벤트,7,,,,,,,,,,,,,,,
기지 상태 문구,「벙커 내부 환경이 개선/악화되었다」는 별도 기지 수치가 아니라 결과창과 이벤트 일기에 표시하는 상태 문구다.,,,,,,,,계열 점수 무관,12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
A. 마지막 벙커 등장 가능 이벤트 (12개) · 주인공 혼자 겪을 수 있는 내부 환경·생존·정신력 이벤트,,,,,,,,,,,,,,,,,,,,,,,,,
원본 번호,EventId 가안,이벤트 제목,마지막 벙커,계열 점수,상황 설명,선택지 1,선택지 1 시스템 결과,선택지 1 결과창 문구,선택지 2,선택지 2 시스템 결과,선택지 2 결과창 문구,점수 적용 기간,상태,비고,,,,,,,,,,,
1,Q1_GENERAL_EVT_01,멈추지 않는 물방울 소리,가능,없음,천장에서 일정한 간격으로 물방울이 떨어진다. 양은 적지만 밤새 소리가 이어질 것 같다.,새는 곳을 찾아 막는다,"• 체력 소폭 감소
• 정신력 소폭 상승
• 벙커 내부 환경이 개선되었다","천장에서 물이 새는 곳을 찾아 천과 판자로 틈을 막았다.
손은 조금 갔지만, 밤새 귀를 괴롭히던 물방울 소리가 멈추니 벙커가 한결 편안해졌다.",소리를 무시하고 쉰다,"• 체력 변화 없음
• 정신력 소폭 감소","오늘은 물이 새는 곳을 고칠 힘이 없어 그대로 누웠다.
몸은 쉬었지만, 일정하게 떨어지는 물방울 소리가 밤새 머릿속을 떠나지 않았다.",계열 점수 없음,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
2,Q1_GENERAL_EVT_02,오래된 음성 녹음,가능,없음,보관함을 정리하다 과거에 녹음한 가족의 목소리를 발견한다.,끝까지 듣는다,"• 정신력 회복
• 시간 소모","보관함에서 찾은 오래된 녹음을 끝까지 들었다.
잊고 있던 가족의 목소리가 벙커 안에 퍼지자, 잠시나마 다시 함께 있는 듯한 기분이 들었다.",바로 꺼버린다,• 스탯 및 아이템 변화 없음,"녹음이 시작되자마자 전원을 껐다.
지금 그 목소리를 끝까지 들었다가는 마음이 더 흔들릴 것 같았다.",계열 점수 없음,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
3,Q1_GENERAL_EVT_03,오늘이 며칠인지,가능,없음,일기장을 펼쳤지만 오늘 날짜가 바로 떠오르지 않는다.,지금까지의 기록을 다시 읽는다,"• 정신력 소폭 회복
• 시간 소모","오늘 날짜가 떠오르지 않아 지금까지 쓴 일기장을 처음부터 다시 읽었다.
흐릿했던 날짜와 지난날의 기억이 조금씩 이어지면서, 내가 아직 시간을 놓치지 않았다는 생각이 들었다.",대충 날짜를 적는다,• 정신력 소폭 감소,"정확한 날짜를 확인하지 못한 채 짐작한 날짜를 적었다.
하루쯤 틀려도 괜찮다고 생각했지만, 내가 시간을 잊어가고 있다는 사실은 마음에 남았다.",계열 점수 없음,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
4,Q1_GENERAL_EVT_04,아무도 없는 식탁,가능,없음,혼자 식사를 준비하다 맞은편의 빈 의자가 유난히 눈에 들어온다.,평소처럼 식사를 차려놓는다,"• 통조림 1개 소모
• 정신력 크게 회복
• 배고픔 회복","오늘도 예전처럼 식탁을 차리고 맞은편 자리에도 음식을 놓았다.
혼자 먹는 식사였지만, 잠깐 동안은 누군가와 함께 앉아 있는 것처럼 덜 외로웠다.",의자를 치워버린다,"• 아이템 소모 없음
• 정신력 소폭 감소","계속 눈에 밟히던 빈 의자를 벽 쪽으로 치워버렸다.
식탁은 넓어졌지만, 이제 정말 내 자리 하나만 남았다는 사실이 더 선명해졌다.",계열 점수 없음,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
5,Q1_GENERAL_EVT_05,흔들리는 선반,가능,없음,물자를 보관한 선반이 한쪽으로 기울어져 있다.,지금 바로 다시 고정한다,"• 체력 소폭 감소
• 물자 손실 방지
• 벙커 내부 환경이 개선되었다","한쪽으로 기울어진 선반을 벽에 다시 단단히 고정했다.
팔에 힘이 꽤 들었지만, 위태롭게 흔들리던 물자들을 보니 미리 손보길 잘했다는 생각이 들었다.",나중으로 미룬다,"• 체력 변화 없음
• 보유 아이템 1개 손실","선반을 고치는 일은 나중으로 미뤘다.
결국 큰 소리와 함께 선반이 무너졌고, 떨어진 물자 하나는 다시 쓸 수 없게 되었다.",계열 점수 없음,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
