번호,이벤트,첫 번째 선택,두 번째 선택
1,멈추지 않는 물방울 소리,"체력 -5, 정신력 +5",정신력 -5
2,오래된 음성 녹음,정신력 +10,변화 없음
3,오늘이 며칠인지,정신력 +5,정신력 -5
4,아무도 없는 식탁,"배고픔 +20, 정신력 +15",정신력 -5
5,흔들리는 선반,체력 -5,변화 없음
6,환기구의 먼지,"체력 -5, 정신력 +5",정신력 -5
7,출입문 틈새,정신력 +20,"체력 -5, 정신력 -5"
8,비상등 고장,"체력 -5, 수리 성공 시 정신력 +10, 실패 시 -5",정신력 -5
9,물탱크의 이상한 냄새,변화 없음,체력 -5
10,부풀어 오른 통조림,변화 없음,"배고픔 +20, 50% 확률로 체력 -10"
11,금이 간 물병,갈증 +20,변화 없음
12,녹슨 못,변화 없음,체력 -10
13,멀리서 보이는 손전등,정신력 +5,정신력 -5
14,버려진 가방,변화 없음,변화 없음
15,부서진 소형 수신기,정신력 +5,변화 없음
16,지붕 위의 반사광,"체력 -5, 정신력 +5",변화 없음
17,하늘의 붉은 섬광,정신력 +5,정신력 -5
18,상공을 스치는 드론,"체력 -5, 정신력 +5",정신력 -5
19,멀리서 울리는 경보 사이렌,"체력 -5, 정신력 +5",정신력 -5
20,벽 너머의 발소리,정신력 -5,정신력 -5
21,문 앞의 분필 표시,정신력 +5,변화 없음
22,짧은 도움 요청,정신력 +5,정신력 -5
23,어둠 속의 휘파람,정신력 +5,정신력 -5
24,출입문 앞의 빈 물병,정신력 +5,정신력 -5
25,여러 사람의 발자국,"체력 -5, 정신력 +5",체력 -5
26,벽에 적힌 이름들,정신력 +5,정신력 -5
